user_id,age,gender,registration_date,platform,tracking_enabled
9158704f-fe3f-4ef8-956b-261f145a205c,28,F,2024-02-17,android,True
724b3769-31b0-497b-b894-41ddf77d692c,21,M,2024-02-17,ios,False
82349f96-71ce-4192-baec-7f405b356241,22,F,2024-02-17,android,True
989521c0-a6c7-4930-ba75-e8aad95943e9,26,F,2024-02-17,android,True
d40e4903-51ca-41a0-9b12-167c08fc9773,25,M,2024-02-17,android,True
22e915cb-a4b7-4b8b-9707-af51ad4531f9,23,M,2024-02-17,android,True
630e1c97-1f3e-4880-96b3-0cebc0361ee6,19,M,2024-02-17,android,True
4357e2f0-f4fc-4920-a3ba-6cd852c716d3,18,F,2024-02-17,ios,True
680fd31d-b017-4370-8464-4d63d63908e7,22,F,2024-02-17,android,False
a8b3e1c6-0f2b-4db5-b0ae-880736444848,24,M,2024-02-17,ios,False
1baf08e3-1df3-4233-9242-8742f25664ca,35,F,2024-02-17,ios,False
e6465794-fb0f-4a5b-9034-b7e7b7385ea7,30,M,2024-02-17,android,True
0f3ee4a3-037b-4b5d-816a-c2c9bd84f6f5,30,M,2024-02-17,ios,False
11944119-740c-4fd2-9b56-196f5627fcab,34,M,2024-02-17,ios,False
ec1a315c-5ebd-4d26-bcae-8918a01d7660,37,F,2024-02-17,android,False
399a0afd-6d49-4089-8711-dfcd91e0e489,30,M,2024-02-17,ios,False
d27b49f3-5ea0-45c8-949f-4ba881e0029a,22,M,2024-02-17,android,False
d5bc88f1-ff4c-45fb-9115-b0218a4867ce,36,F,2024-02-17,android,True
756871f4-a3fa-4209-843b-84a722b98776,30,F,2024-02-17,ios,False
ed60f0fe-37a7-41f9-89ee-c440aaeb7c8b,41,M,2024-02-17,android,True
26f8650d-3388-4e33-867b-5fd9cf4bdeb4,40,M,2024-02-17,ios,False
3ae731dc-587d-4eb9-ad0e-72e8d2477fad,21,F,2024-02-17,ios,False
983f9f77-8762-49ad-9687-d984bf0aee55,25,M,2024-02-17,ios,False
a0a39ec4-ad54-40c3-8a32-6940ddd3efbf,50,M,2024-02-17,ios,False
0d23f861-7c5c-4b0a-9893-bdc904ed6706,20,M,2024-02-17,android,False
6ab91609-a6ce-4a53-9e8c-30f8bd0e8dfb,44,M,2024-02-17,ios,False
b9c49ac2-dae7-443a-8359-0472c9298eb0,31,M,2024-02-17,ios,False
c9cf7631-fd13-4271-b77c-a317c47f12f8,39,F,2024-02-17,ios,True
fd2f67db-0ae9-4d5c-9413-8a713cec654e,51,F,2024-02-17,ios,False
23ba90da-c1b9-41fa-853b-1c719672e63d,43,M,2024-02-17,android,True
9f9efbdf-2e27-4bb0-a9de-9ec307e9f0ac,35,F,2024-02-17,ios,True
da769a1c-c9b0-4260-a049-b74fb27f8887,44,F,2024-02-17,android,False
85671c8a-1425-4159-9cb6-5eed85748ed6,37,M,2024-02-17,ios,False
249f5c89-5b24-42ab-9196-a3f3de4650fd,36,M,2024-02-17,ios,False
cef26843-5c46-4516-96d4-99c2df256bee,40,M,2024-02-17,ios,False
a82495d7-fb2a-452a-b584-bfc7a0d4404c,61,M,2024-02-17,android,False
9416670d-8d83-4bed-a0bc-8d9c52e70980,43,M,2024-02-17,ios,False
74444d7d-a798-4e7a-8f67-5e27574c2467,38,F,2024-02-17,android,True
0911d9fa-54ad-4d50-a5b6-eb4fee8b619f,37,M,2024-02-17,ios,False
b6531151-14d3-4c99-9ca8-bff8b9a74afa,42,M,2024-02-17,android,False
0a2571ec-012d-4cef-89b7-9a38a2f21300,43,M,2024-02-17,android,True
06ccb218-f0bb-4b6a-91f6-35f437968e8b,34,M,2024-02-17,ios,False
ce054e68-c230-44a0-957f-84c72636d994,42,F,2024-02-17,android,True
ff3ae8de-128f-4e24-ad3b-cb1880436075,35,M,2024-02-17,ios,True
b5671c1a-14ea-477e-9ef1-8edb97466522,53,F,2024-02-17,ios,False
d5dfdb18-e938-4acb-9fee-c5258edd1613,27,M,2024-02-17,ios,False
ded90161-0c29-4329-bca9-f433dd29263a,45,M,2024-02-17,android,True
a581ebb1-f397-40b5-a349-49672fac8150,21,M,2024-02-17,ios,False
5df4f54c-1eb7-48d7-a981-0302528e1c6e,36,F,2024-02-17,ios,True
64fc5d95-92d0-4786-9273-9d6357716e3c,25,M,2024-02-17,android,True
b9f35ec2-01ff-4141-b3da-e6b00e1296d5,32,M,2024-02-17,ios,False
1eeb9c0a-f60e-478e-85b0-862b6fd85fda,40,M,2024-02-17,android,True
4c36ba89-0843-4d14-aa29-2c79735e870f,20,M,2024-02-17,android,False
6d1aea72-db4e-4e04-82ed-23a1dfebd8df,28,F,2024-02-17,ios,False
f142015d-64dd-4bf4-8356-4b57b18e8df8,25,F,2024-02-17,android,True
3cc40498-b279-42ab-b528-52debe6c65d0,40,M,2024-02-17,ios,False
be044d0f-e29c-4f2b-b7dc-24c6390c6ddf,39,M,2024-02-17,ios,False
2c066416-6734-4a3a-b94e-c76a3d871de0,18,F,2024-02-17,ios,False
d4b0d432-f829-494d-9336-b213754fad66,40,M,2024-02-17,ios,False
bef21a0a-7cab-4785-b684-86607b4cc966,26,F,2024-02-17,ios,False
7d1e5965-b3c6-4d2f-93ff-e4e4fd147473,57,F,2024-02-17,ios,False
0eba781b-bad3-4fce-b447-5b53c447b702,49,F,2024-02-17,ios,False
6c0e475d-20be-4eb7-b1a8-ec9c8e3663b4,39,M,2024-02-17,ios,False
a4f31693-1f7c-4e6f-b9da-c0447f0af8b1,18,F,2024-02-17,android,True
6b67be86-21b4-4ac1-a3a5-3d9067eac77a,58,M,2024-02-17,ios,False
dc6e6349-a8e5-4fbe-8589-c90758e8f673,37,F,2024-02-17,ios,False
2be4e883-5c9b-46b7-a21d-b5bff4125289,27,F,2024-02-17,android,False
bc3143a6-1dea-45a4-a458-3dac29f5af41,40,F,2024-02-17,ios,False
ad52b48b-5c58-4a0c-94ae-43b003444cb9,45,M,2024-02-17,android,False
f9ae4fb4-d9cc-4c0c-81ad-915b055be9dc,18,M,2024-02-17,ios,False
2abd8e34-b52d-49ac-9ee9-373b4d92c630,40,F,2024-02-17,ios,False
12e43086-2f1f-4223-b6c4-d1bbefbe4193,34,M,2024-02-17,ios,False
71ac909c-2b8a-40fc-95c7-3a82192d24ea,24,F,2024-02-17,ios,False
046c284b-04cf-4fb6-8765-0ed3bffcf142,29,F,2024-02-17,ios,False
3c98b67c-a16f-49f8-8db3-611b406d0fa9,25,M,2024-02-17,android,True
40c28d0c-341c-4316-a546-60f305d28456,35,M,2024-02-17,android,True
1d7b0948-5ace-417e-867a-2dca74eb0d05,32,F,2024-02-17,ios,True
95da7b2f-5cf3-4eda-8d4d-acd5b8dea770,43,M,2024-02-17,android,True
118ce4ac-166d-4e92-a9c1-934f990967e2,46,M,2024-02-17,ios,False
ce0fec30-d69e-4ccc-94d5-1411216d6402,27,M,2024-02-17,android,True
3124f070-9f91-4ee0-8ff4-93029221272b,40,F,2024-02-17,android,True
115f05bd-0218-427d-a389-c1c0d8f71cdc,18,M,2024-02-17,android,False
5cd015d3-c360-4362-b183-a7abea378c25,47,M,2024-02-17,ios,False
71b0a127-f551-4e23-8b15-da89b26a38a3,22,F,2024-02-17,ios,False
8651432a-ed96-45e3-87fd-9f420b8d22ef,27,M,2024-02-17,android,False
1928238a-0087-4891-9f8c-5648c1e88ecb,47,M,2024-02-17,android,False
3b614a48-48d1-40d0-8e8a-7c3f98f75bcf,25,F,2024-02-17,android,True
